,Country,GDP_Growth_2018,GDP_Growth_2019,GDP_Growth_2020,GDP_Growth_2021,GDP_Growth_2022,GDP_Growth_2023,GDP_Per_Capi_2018,GDP_Per_Capi_2019,GDP_Per_Capi_2020,GDP_Per_Capi_2021,GDP_Per_Capi_2022,GDP_Per_Capi_2023,Unemployment_2018,Unemployment_2019,Unemployment_2020,Unemployment_2021,Unemployment_2022,Unemployment_2023,Inflation_Rate_2018,Inflation_Rate_2019,Inflation_Rate_2020,Inflation_Rate_2021,Inflation_Rate_2022,Inflation_Rate_2023,Population_2018,Population_2019,Population_2020,Population_2021,Population_2022,Population_2023,Current_Account_2018,Current_Account_2019,Current_Account_2020,Current_Account_2021,Current_Account_2022,Current_Account_2023,Government_Debt_2018,Government_Debt_2019,Government_Debt_2020,Government_Debt_2021,Government_Debt_2022,Government_Debt_2023,Status,Region
139,Poland,5.9,4.4,-2,6.9,5.6,0.2,15504.366,15694.594,15792.61,18380.545,18701.354,22085.808,3.8,3.3,3.2,3.4,2.9,2.8,1.8,2.2,3.4,5.1,14.4,11.4,37.977,37.973,37.958,37.073,36.89,36.754,-11.338,-1.464,14.882,-8.481,-16.817,12.565,48.7,45.7,57.2,53.6,49.2,49.6,Developed,Europe
140,Portugal,2.8,2.7,-8.3,5.7,6.8,2.3,23573.253,23333.408,22224.61,24838.758,24798.548,27834.773,7.2,6.7,7.1,6.7,6.2,6.6,1.2,0.3,-0.1,0.9,8.1,5.3,10.284,10.286,10.297,10.295,10.299,10.318,1.344,1.044,-2.377,-1.936,-2.932,3.945,121.5,116.6,134.9,124.5,112.4,99.1,Developed,Europe
141,Puerto Rico,-4.4,1.7,-4.2,0.4,3.6,0.6,31549.375,32851.875,32643.179,33258.313,35489.75,36779.059,9.2,8.3,8.8,8,6,5.9,1.3,0.1,-0.5,2.4,6,3.5,3.2,3.2,3.159,3.2,3.2,3.206,NA,NA,NA,NA,NA,NA,52.5,48.8,50.2,48.9,16.7,16.7,Developing,North America
142,Qatar,1.2,0.7,-3.6,1.6,4.2,1.2,66421.617,63007.696,50962.499,65400.854,80385.391,69540.54,NA,NA,NA,NA,NA,NA,0.1,-0.9,-2.5,2.3,5,3.1,2.76,2.799,2.834,2.748,2.932,3.063,16.652,4.26,-2.986,26.319,63.118,36.47,52.2,62.1,72.6,58.4,42.6,43.3,Developing,Asia
143,Romania,6,3.9,-3.7,5.7,4.1,2.1,12465.699,12928.148,13021.962,14895.318,15726.433,18424.685,5.3,4.9,6.1,5.6,5.6,5.6,4.6,3.8,2.6,5,13.8,10.4,19.533,19.414,19.329,19.202,19.042,19.055,-11.218,-12.211,-12.44,-20.681,-27.444,-24.485,36.2,36.6,49.4,51.7,51.3,52.1,Developed,Europe
144,Russian Federation,2.8,2.2,-2.7,5.9,-1.2,3.6,11182.629,11465.343,10074.726,12519.735,15471.593,13738.704,4.8,4.6,5.8,4.8,4,3.2,2.9,4.5,3.4,6.7,13.7,5.9,147.819,147.9,147.708,147.218,146.714,146.299,115.68,65.65,35.373,124.953,237.735,50.133,13.6,13.7,19.2,16.4,18.5,19.5,Developed,Europe
145,Rwanda,8.5,9.4,-3.4,10.9,8.2,8.2,797.2,836.286,803.456,854.139,1005.011,1044.352,NA,NA,NA,NA,NA,NA,1.4,2.4,7.7,0.8,13.9,14,12.09,12.374,12.663,12.956,13.246,13.499,-0.975,-1.231,-1.228,-1.203,-1.246,-1.654,44.9,49.9,65.6,66.6,60.6,64.5,Developing,Africa
146,Saint Kitts and Nevis,2.1,4.1,-14.6,-1.7,10.5,2.3,22533.727,23205.126,18553.579,18035.552,20593.177,22106.297,NA,NA,NA,NA,NA,NA,-1,-0.3,-1.2,1.2,2.7,3.6,4.80E-02,4.80E-02,4.80E-02,4.80E-02,4.80E-02,4.80E-02,-6.30E-02,-5.30E-02,-9.60E-02,-4.40E-02,-0.106,-0.143,53.9,54.3,68,69.1,60.2,55.9,Developing,North America
147,Saint Lucia,2.9,-0.7,-24.4,11.6,20.4,2.2,11585.786,11733.226,8364.868,10393.385,12958.677,13358.349,NA,NA,NA,NA,NA,NA,2.6,0.5,-1.8,2.4,6.4,4.1,0.178,0.179,0.179,0.18,0.181,0.182,2.90E-02,0.116,-0.284,-0.221,-6.70E-02,-4.50E-02,60.3,62.1,95,81.9,73.4,74.5,Developing,North America
148,Saint Vincent and the Grenadines,3.2,0.7,-4.3,2.1,3.1,5.8,8001.555,8231.638,7810.304,8021.73,8921.9,9757.972,NA,NA,NA,NA,NA,NA,2.3,0.9,-0.6,1.6,5.7,4.6,0.111,0.111,0.111,0.111,0.111,0.111,-9.10E-02,-2.20E-02,-0.137,-0.197,-0.187,-0.19,69.4,68.1,79.9,88.3,84.7,87.1,Developing,North America
149,Samoa,-0.6,4.5,-3.1,-7.1,-5.3,8,4390.958,4472.223,4308.015,4150.674,4064.061,4478.194,NA,NA,NA,NA,NA,NA,3.7,2.2,1.5,-3,8.7,12,0.2,0.204,0.202,0.203,0.205,0.209,7.00E-03,2.60E-02,5.00E-03,-0.122,-9.40E-02,-3.10E-02,49.4,44.3,43.2,46.3,43.7,33.4,Developing,Oceania
150,San Marino,1.5,2,-6.8,14.2,7.9,0.4,49477.281,48043.86,45640.984,54733.239,53875.751,58249.292,8,7.7,7.3,5.2,4.6,3.9,1.2,0.5,-0.1,2.1,5.3,5.9,3.30E-02,3.40E-02,3.40E-02,3.40E-02,3.40E-02,3.40E-02,-3.10E-02,3.30E-02,4.30E-02,0.1,0.284,0.277,57.2,57.4,71.6,81.3,74.5,72.3,Developed,Europe
151,Saudi Arabia,3.2,1.1,-3.6,5.1,7.5,-0.8,28036.026,27892.842,23271.404,28396.104,34454.196,32529.678,6,5.6,7.7,6.1,4.9,3.8,2.5,-2.1,3.4,3.1,2.5,2.3,30.196,30.064,31.553,30.784,32.175,32.819,72.956,38.451,-25.547,41.718,151.519,34.07,17.6,21.6,31,28.6,23.9,26.2,Developing,Asia
152,Senegal,6.2,4.6,1.3,6.5,4,4.6,1458.73,1436.224,1465.244,1603.346,1569.546,1703.392,NA,NA,NA,NA,NA,NA,0.5,1,2.5,2.2,9.7,5.9,15.854,16.296,16.744,17.204,17.676,18.162,-2.037,-1.853,-2.666,-3.329,-5.554,-5.818,61.5,63.6,69.2,73.3,76,81.2,Developing,Africa
153,Serbia,4.5,4.3,-0.9,7.7,2.5,2.5,7252.404,7417.206,7733.803,9186.968,9537.684,11352.113,13.7,11.2,9.7,11.1,9.5,9.4,2,1.8,1.6,4.1,12,12.4,6.983,6.945,6.899,6.834,6.664,6.623,-2.451,-3.54,-2.198,-2.703,-4.354,-1.957,53.3,51.7,56.9,56.2,53.5,48.9,Developed,Europe
154,Seychelles,4.9,5.5,-11.7,0.6,15,3.2,18602.985,19366.719,14235.574,15195.623,20804.533,21455.112,3,3,3,3,3,3,3.7,1.8,1.2,9.8,2.6,-1,9.50E-02,9.60E-02,9.70E-02,9.80E-02,9.90E-02,0.1,-4.20E-02,-5.20E-02,-0.17,-0.13,-0.152,-0.155,51.3,48.9,77.4,71.2,58.9,56.5,Developing,Africa
155,Sierra Leone,3.4,5.5,-1.3,5.9,5.3,5.7,835.315,834.368,837.636,859.108,856.815,754.283,NA,NA,NA,NA,NA,NA,16,14.8,13.4,11.9,27.2,47.7,7.65,7.813,7.977,8.141,8.309,8.48,-0.698,-0.792,-0.32,-0.395,-0.157,-0.381,44.2,45.3,46.4,47.1,54,49.2,Developing,Africa
156,Singapore,3.5,1.3,-3.9,9.7,3.8,1.1,66840.654,66081.704,61466.819,79601.393,88428.724,84734.277,2.1,2.3,3,2.7,2.1,1.9,0.4,0.6,-0.2,2.3,6.1,4.8,5.639,5.704,5.686,5.454,5.637,5.918,60.21,60.459,57.957,86.137,89.701,99.128,109.4,127.8,148.1,142.9,158.2,174.8,Developing,Asia
157,Slovak Republic,4,2.5,-3.3,4.8,1.9,1.6,19508.308,19397.274,19541.007,21730.181,21284.578,24468.025,6.5,5.7,6.6,6.8,6.2,5.8,2.5,2.8,2,2.8,12.1,11,5.443,5.45,5.458,5.46,5.435,5.429,-2.331,-3.541,0.588,-2.918,-9.419,-2.101,49.4,48,58.8,61.1,57.7,56,Developed,Europe
158,Slovenia,4.4,3.5,-4.1,8.4,2.7,2.1,25987.659,25909.807,25451.13,29194.311,28462.153,32673.257,5.1,4.5,5,4.7,4,3.7,1.7,1.6,-0.1,1.9,8.8,7.4,2.067,2.081,2.096,2.109,2.107,2.117,3.497,3.477,4.093,2.309,-0.671,3.092,71,66,80.2,74.8,72.7,68.4,Developed,Europe
159,Solomon Islands,2.7,1.7,-3.4,2.6,2.4,3.1,2325.003,2278.163,2118.582,2059.05,2077.115,2124.809,NA,NA,NA,NA,NA,NA,3.6,2.2,2.9,0.2,5.4,5.1,0.695,0.711,0.725,0.74,0.754,0.769,-4.80E-02,-0.154,-2.50E-02,-7.70E-02,-0.215,-0.176,7.9,7.8,11.5,16.1,16,20.9,Developing,Oceania
